LocalOrderCode;ProductId;Description;Description DE;Price;Weight;DiscountFamilyGroup
PTBO2550;1STQ007133A0000;IP65 OPEN TOP/BOTTOM W=250MM D=500MM;IP65 DECK/BOD.OHNE FLAN.B=250MM T=500MM;34.42;2.6;Missing
PTBO2570;1STQ007134A0000;IP65 OPEN TOP/BOTTOM W=250MM D=700MM;IP65 DECK/BOD.OHNE FLAN.B=250MM T=700MM;38.27;3.3;Missing
PTBO5020;1STQ001287B0000;IP65 OPEN TOP/BOTTOM W=500MM D=200MM;IP65 DECK/BOD.OHNE FLAN.B=500MM T=200MM;31.29;2.4;Missing
PTBO3050;1STQ007137A0000;IP65 OPEN TOP/BOTTTOM W/D300MM D/W=500MM;IP65 DECK/BOD.OHNE FL.B/T300MM T/B=500MM;35.12;2.8;Missing
PTBO5050;1STQ007145A0000;IP65 OPEN TOP/BOTTOM W=500MM D=500MM;IP65 DECK/BOD.OHNE FLAN.B=500MM T=500MM;38.3;3.6;Missing
PTBO5070;1STQ007146A0000;IP65 OPEN TOP/BOTTOM W=500MM D=700MM;IP65 DECK/BOD.OHNE FLAN.B=500MM T=700MM;48.93;4.3;Missing
PTBO7520;1STQ001305B0000;IP65 OPEN TOP/BOTTOM W=750MM D=200MM;IP65 DECK/BOD.OHNE FLAN.B=750MM T=200MM;38.6;3.2;Missing
PTBO7530;1STQ007152A0000;IP65 OPEN TOP/BOTTOM W=750MM D=300MM;IP65 DECK/BOD.OHNE FLAN.B=750MM T=300MM;41.5;3.6;Missing
PTBO7550;1STQ007153A0000;IP65 OPEN TOP/BOTTOM W=750MM D=500MM;IP65 DECK/BOD.OHNE FLAN.B=750MM T=500MM;48.93;4.5;Missing
PTBO7570;1STQ007154A0000;IP65 OPEN TOP/BOTTOM W=750MM D=700MM;IP65 DECK/BOD.OHNE FLAN.B=750MM T=700MM;54.57;5.3;Missing
PTBO1030;1STQ007160A0000;IP65 OPEN TOP/BOTTOM W=1000MM D=300MM;IP65 DECK/BOD.OHNE FL.B=1000MM T=300MM;66.62;4.0;Missing
PTBO1050;1STQ007161A0000;IP65 OPEN TOP/BOTTOM W=1000MM D=500MM;IP65 DECK/BOD.OHNE FL.B=1000MM T=500MM;70.16;5.0;Missing
PTBO1070;1STQ007162A0000;IP65 OPEN TOP/BOTTOM W=1000MM D=700MM;IP65 DECK/BOD.OHNE FL.B=1000MM T=700MM;80.01;5.8;Missing
PTBO1230;1STQ007164A0000;IP65 OPEN TOP/BOTTOM W=1250MM D=300MM;IP65 DECK/BOD.OHNE FLAN.B=1250MM T=300MM;73;6.0;Missing
PTBO1250;1STQ007165A0000;IP65 OPEN TOP/BOTTOM W=1250MM D=500MM;IP65 DECK/BOD.OHNE FLAN.B=1250MM T=500MM;77.53;7.2;Missing
PTBO1270;1STQ007166A0000;IP65 OPEN TOP/BOTTOM W=1250MM D=700MM;IP65 DECK/BOD.OHNE FLAN.B=1250MM T=700MM;86.46;8.6;Missing
PFCF2520;1STQ001274B0000;CABLE ENTRY FLANGE W=250MM D=200MM;FLANSCHPLATTE GESCHLOS.B=250MM T=200MM;18.13;0.5;Missing
PFCF2530;1STQ007655A0000;CABLE ENTRY FLANGE W=250MM D=300MM;FLANSCHPLATTE GESCHLOS. B=250MM T=300MM;19.09;0.8;Missing
PFCF2550;1STQ007656A0000;CABLE ENTRY FLANGE W=250MM D=500MM;FLANSCHPLATTE GESCHLOS. B=250MM T=500MM;22.57;1.4;Missing
PFCF2570;1STQ007657A0000;CABLE ENTRY FLANGE W=250MM D=700MM;FLANSCHPLATTE GESCHLOS. B=250MM T=700MM;24.39;2.0;Missing
PFCF5020;1STQ001290B0000;CABLE ENTRY FLANGE W=500MM D=200MM;FLANSCHPLATTE GESCHLOS.B=500MM T=200MM;20.18;1.0;Missing
PFCF3050;1STQ007660A0000;CABLE ENTRY FLANGE W/D=300 D=500MM;FLANSCHPLATTE GESCHLOS. B/T=300 T=500MM;22.33;1.5;Missing
PFCF5050;1STQ007668A0000;CABLE ENTRY FLANGE W=500MM D=500MM;FLANSCHPLATTE GESCHLOS. B=500MM T=500MM;28.12;3.2;Missing
