ProductId;LocalOrderCode;HasGraphicalItem;Description;Price;weight;UnitOfMeasure;Quantity;Accessory;;;;;;;;;;;;;;;;;
1SDA037395R1;1SDA037395R1;0;TOR CL 110 mm RCQ;498;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA037396R1;1SDA037396R1;0;TOR OP 110 mm RCQ;0;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA037397R1;1SDA037397R1;0;TOR OP 180 mm RCQ;0;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA037398R1;1SDA037398R1;0;TOR OP 230 mm RCQ;0;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038286R1;1SDA038286R1;0;SHUNT OPEN.RELEASE 24V DC E1/6-T8;271;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038287R1;1SDA038287R1;0;SHUNT OPEN.RELEASE 30V E1/6-T8;271;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038288R1;1SDA038288R1;0;SHUNT OPEN.RELEASE 48V E1/6-T8;271;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038289R1;1SDA038289R1;0;SHUNT OPEN.RELEASE 60V E1/6-T8;271;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038290R1;1SDA038290R1;0;SHUNT OPEN.RELEASE 110/120V E1/6-T8;271;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038292R1;1SDA038292R1;0;SHUNT OPEN.RELEASE 220/240V E1/6-T8;271;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038293R1;1SDA038293R1;0;SHUNT OPEN.RELEASE 240/250V E1/6-T8;271;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038294R1;1SDA038294R1;0;SHUNT OPEN.RELEASE 380/400V E1/6-T8;379;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038295R1;1SDA038295R1;0;SHUNT OPEN.RELEASE 440/480V AC E1/6-T8;379;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038297R1;1SDA038297R1;0;SHUNT CLOSING RELEASE 30V E1/6-T8;271;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038298R1;1SDA038298R1;0;SHUNT CLOSING RELEASE 48V E1/6-T8;271;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038299R1;1SDA038299R1;0;SHUNT CLOSING RELEASE 60V E1/6-T8;271;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038300R1;1SDA038300R1;0;SHUNT CLOSING RELEASE 110/120V E1/6-T8;271;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038301R1;1SDA038301R1;0;SHUNT CLOSING RELEASE 120/127V E1/6-T8;271;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038302R1;1SDA038302R1;0;SHUNT CLOSING RELEASE 220/240V E1/6-T8;271;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038303R1;1SDA038303R1;0;SHUNT CLOSING RELEASE 240/250V E1/6-T8;271;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038304R1;1SDA038304R1;0;SHUNT CLOSING RELEASE 380/400V E1/6-T8;379;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038305R1;1SDA038305R1;0;SHUNT CLOSIN RELEASE 440/480V AC E1/6-T8;379;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038306R1;1SDA038306R1;0;UNDER VOLTAGE RELEASE 24V DC E1/6-T8;347;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038307R1;1SDA038307R1;0;UNDER VOLTAGE RELEASE 30V E1/6-T8;347;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038309R1;1SDA038309R1;0;UNDER VOLTAGE RELEASE 60V E1/6-T8;347;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038310R1;1SDA038310R1;0;UNDER VOLTAGE RELEASE 110/120V E1/6-T8;347;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038311R1;1SDA038311R1;0;UNDER VOLTAGE RELEASE 120/127V E1/6-T8;347;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038312R1;1SDA038312R1;0;UNDER VOLTAGE RELEASE 220/240V E1/6-T8;347;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038313R1;1SDA038313R1;0;UNDER VOLTAGE RELEASE 240/250V E1/6-T8;347;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038314R1;1SDA038314R1;0;UNDER VOLTAGE RELEASE 380/400V E1/6-T8;347;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038315R1;1SDA038315R1;0;YU 415-440Vac IEC/440-480Vac UL E1/6-T8;347;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038316R1;1SDA038316R1;0;TIME DEL.UVR24/30VE1/6-T7-X1-T8-E1.2/6.2;420;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038317R1;1SDA038317R1;0;TIME DEL.UVR 48V E1/6-T7-X1-T8-E1.2/6.2;420;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038318R1;1SDA038318R1;0;TIME DEL.UVR 60V E1/6-T7-X1-T8-E1.2/6.2;420;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038319R1;1SDA038319R1;0;T.DEL.UVR 110/127VE1/6-T7-X1-T8-E1.2/6.2;420;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038320R1;1SDA038320R1;0;T.DEL.UVR 220/250VE1/6-T7-X1-T8-E1.2/6.2;420;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038321R1;1SDA038321R1;0;GEARED MOTOR DEVICE 24/30V E1/6-T8;1164;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038322R1;1SDA038322R1;0;GEARED MOTOR DEVICE 48/60V E1/6-T8;1164;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038323R1;1SDA038323R1;0;GEARED MOTOR DEVICE 100/130V E1/6-T8;1164;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038324R1;1SDA038324R1;0;GEARED MOTOR DEVICE 220/250V E1/6-T8;1164;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038325R1;1SDA038325R1;0;CLOSING SPRING ELECTR.INDICATION E1/6;107;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038340R1;1SDA038340R1;0;UVR DE-ENERGIZED ELEC.IND.-N.O. E1/6-T8;107;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038341R1;1SDA038341R1;0;UVR DE-ENERGIZED ELEC.IND.-N.C. E1/6-T8;107;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038343R1;1SDA038343R1;0;PUSHBOTTONS PROTECTION E1/6-T8;93;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038344R1;1SDA038344R1;0;IP54 PROTECT WITH KEYS LOCK SEV. E1/6-T8;619;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA038351R1;1SDA038351R1;0;PADLOCK DEV.IN OPEN POS.D=4mm E1/6-T8;201;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA046578R1;1SDA046578R1;0;KIT HR/VR S8-T8 2500A 6pcs;0;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA046579R1;1SDA046579R1;0;KIT HR/VR S8-T8 2500A 8pcs;0;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA048964R1;1SDA048964R1;0;UNIT PR010/T;7845;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA050157R1;1SDA050157R1;0;SHUNT OPEN.RELEASE ADDITIO 24VDC E1/6-T8;715;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA050158R1;1SDA050158R1;0;SHUNT OPEN.RELEASE ADDITIONA 30V E1/6-T8;715;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA050159R1;1SDA050159R1;0;SHUNT OPEN.RELEASE ADDITIONA 48V E1/6-T8;715;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA050160R1;1SDA050160R1;0;SHUNT OPEN.RELEASE ADDITIONA 60V E1/6-T8;715;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA050161R1;1SDA050161R1;0;SHUNT OPEN.RELEAS ADDIT.110/120V E1/6-T8;715;0;pcs;1;;;;;;;;;;;;;;;;;;
